Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
21101,2/28/2023,3565,2.4300000667572,2.4300000667572,0,0,0,2.42000007629395,0,0,0,168,784,1923,,1422,253,63
21101,3/1/2023,5015,3.42000007629395,3.42000007629395,0,0.019999999552965,0.129999995231628,3.25999999046326,0,1,8,299,749,2235,,1422,473,65
21101,3/2/2023,7811,5.36999988555908,5.36999988555908,0,0.990000009536743,0.519999980926514,3.84999990463257,0,12,14,253,684,2240,,1422,505,64
21101,3/3/2023,9620,6.55000019073486,6.55000019073486,0.574999988079071,0.360000014305115,0.400000005960464,5.65999984741211,0.109999999403954,11,24,350,656,2580,,1420,759,65
21101,3/4/2023,12384,8.44999980926514,8.44999980926514,0,2.22000002861023,2.73000001907349,3.49000000953674,0,48,93,225,787,2692,,1417,923,66
21101,3/5/2023,7735,5.26999998092651,5.26999998092651,0.474999994039536,1.12000000476837,1.0900000333786,2.88000011444092,0.150000005960464,28,55,261,632,2505,,1416,749,65
21101,3/6/2023,5519,3.75999999046326,3.75999999046326,0,0,0,3.73000001907349,0.019999999552965,0,0,299,757,2109,,1415,381,66
21101,3/7/2023,5272,3.59999990463257,3.59999990463257,0,0,0,3.57999992370605,0,0,0,246,704,2068,,1415,385,65
21101,3/8/2023,6937,4.73000001907349,4.73000001907349,0,0,0.189999997615814,4.51999998092651,0,0,9,387,909,2468,,1415,650,
21101,3/9/2023,20724,14.1400003433228,14.1400003433228,2.70000004768372,2.97000002861023,1.5900000333786,8.47000026702881,0.860000014305115,53,74,450,675,3626,,1414,1349,67
21101,3/10/2023,21117,14.3999996185303,14.3999996185303,0,5.61999988555908,0.769999980926514,7.98999977111816,0,87,35,336,467,3112,,1414,1304,69
21101,3/11/2023,12544,8.57999992370605,8.57999992370605,0,3.0699999332428,0.97000002861023,4.51999998092651,0,43,19,194,1119,2270,,1414,634,70
21101,3/12/2023,18061,12.3699998855591,12.3699998855591,0,5.69000005722046,2.41000008583069,4.25,0,84,68,235,1053,2863,,1414,1101,70
21101,3/13/2023,7454,5.07999992370605,5.07999992370605,0,0,0,5.07000017166138,0,0,0,310,721,2196,,1414,478,67
21101,3/14/2023,10128,6.90999984741211,6.90999984741211,0,1.35000002384186,0.340000003576279,5.19999980926514,0,36,22,392,990,2696,,1414,887,67
21101,3/15/2023,7003,4.78000020980835,4.78000020980835,0,0,0,4.76000022888184,0,0,0,408,589,2520,,1414,694,66
21101,3/16/2023,10366,7.07000017166138,7.07000017166138,0,0.159999996423721,0.870000004768372,6.01999998092651,0,4,49,452,625,2853,,1413,979,68
21101,3/17/2023,7443,5.07999992370605,5.07999992370605,0,0.170000001788139,0.540000021457672,4.34999990463257,0,3,26,308,687,2251,,1413,541,70
21101,3/18/2023,9902,6.75,6.75,0,1.62000000476837,0.370000004768372,4.73999977111816,0,29,15,311,532,2407,,1413,690,69
21101,3/19/2023,5258,3.58999991416931,3.58999991416931,0,0,0,3.5699999332428,0,0,0,262,878,2043,,1413,371,69
21101,3/20/2023,5908,4.03000020980835,4.03000020980835,0,0,0,4.01999998092651,0,0,0,321,563,2240,,1413,510,69
21101,3/21/2023,6859,4.67999982833862,4.67999982833862,0,0,0.059999998658895,4.59999990463257,0,4,12,381,453,2466,,1413,675,68
21101,3/22/2023,2609,1.77999997138977,1.77999997138977,0,0,0,1.76999998092651,0,0,0,157,169,1192,,790,247,70
21102,2/28/2023,2730,1.72000002861023,1.72000002861023,0,0,0,1.70000004768372,0,0,0,99,1341,1608,3,1359,160,
21102,3/1/2023,9875,6.21000003814697,6.21000003814697,0,0.059999998658895,0.519999980926514,5.6100001335144,0,1,21,337,1081,2182,9,1359,557,69
21102,3/2/2023,12945,8.14000034332275,8.14000034332275,0,0.150000005960464,1.53999996185303,6.42999982833862,0,6,65,398,971,2689,3,1359,925,71
21102,3/3/2023,14375,9.01000022888184,9.01000022888184,0,0.389999985694885,1.71000003814697,6.8899998664856,0,9,59,404,787,2698,1,1359,934,71
21102,3/4/2023,0,0,0,0,0,0,0,0,0,0,0,1440,1360,0,1359,0,
21102,3/5/2023,16,0.009999999776483,0.009999999776483,0,0,0,0.009999999776483,0,0,0,2,1438,1363,0,1359,2,
21102,3/6/2023,0,0,0,0,0,0,0,0,0,0,0,1440,1359,0,1359,0,
21102,3/7/2023,10485,6.59999990463257,6.59999990463257,0,0,0.310000002384186,6.26000022888184,0,0,7,372,960,2286,5,1359,597,71
21102,3/8/2023,6994,4.40000009536743,4.40000009536743,0,0.119999997317791,0.270000010728836,3.99000000953674,0,4,11,368,1023,2335,4,1359,632,70
21102,3/9/2023,0,0,0,0,0,0,0,0,0,0,0,1440,1359,0,1359,0,
21102,3/10/2023,0,0,0,0,0,0,0,0,0,0,3,1437,1383,0,1359,21,
21102,3/11/2023,0,0,0,0,0,0,0,0,0,0,0,512,483,0,483,0,
21103,2/28/2023,1600,1.0900000333786,1.0900000333786,0,0,0,1.0900000333786,0,0,0,149,1291,1793,,1370,244,71
21103,3/1/2023,3568,2.4300000667572,2.4300000667572,0,0,0,2.4300000667572,0,0,0,179,657,1818,,1370,257,76
21103,3/2/2023,4744,3.24000000953674,3.24000000953674,0,0,0,3.21000003814697,0,9,6,217,661,1983,,1370,392,73
21103,3/3/2023,6311,4.30000019073486,4.30000019073486,0,0,0,4.28999996185303,0,0,0,295,633,2020,,1370,380,71
21103,3/4/2023,7749,5.28999996185303,5.28999996185303,0,1.12000000476837,1.08000004291534,3.0699999332428,0,51,24,192,490,2256,,1370,637,71
21103,3/5/2023,5750,3.92000007629395,3.92000007629395,0,0,0,3.91000008583069,0,0,0,243,727,1931,,1370,340,71
21103,3/6/2023,7535,5.1399998664856,5.1399998664856,0,0,0,5.11999988555908,0,0,0,330,530,2163,,1370,498,70
21103,3/7/2023,6341,4.32999992370605,4.32999992370605,0,0,0,4.30999994277954,0,0,0,267,777,1956,,1370,365,72
21103,3/8/2023,13124,8.94999980926514,8.94999980926514,0,0,0,8.92000007629395,0,0,0,511,215,2494,,1370,742,70
21103,3/9/2023,6635,4.53000020980835,4.53000020980835,0,0,0.150000005960464,4.36999988555908,0,0,16,291,712,2150,,1370,497,68
21103,3/10/2023,8230,5.6100001335144,5.6100001335144,0,0,0.200000002980232,5.40000009536743,0,0,6,346,626,2175,,1370,491,70
21103,3/11/2023,9512,6.48999977111816,6.48999977111816,0,1.86000001430511,2.38000011444092,2.23000001907349,0,58,155,284,383,3068,,1370,1249,70
21103,3/12/2023,4878,3.32999992370605,3.32999992370605,0,0,0.140000000596046,3.1800000667572,0,0,9,183,522,1869,,1370,308,71
21103,3/13/2023,7847,5.34999990463257,5.34999990463257,0,0.400000005960464,0.180000007152557,4.75,0,6,13,358,572,2346,,1370,630,69
21103,3/14/2023,8088,5.51999998092651,5.51999998092651,0,0,0,5.5,0,0,0,290,624,2042,,1370,421,71
21103,3/15/2023,6626,4.51000022888184,4.51000022888184,0,0,0,4.48000001907349,0,0,0,274,1166,2099,,1370,449,72
21103,3/16/2023,7763,5.28999996185303,5.28999996185303,0,0.209999993443489,0.230000004172325,4.84000015258789,0,3,5,298,655,2076,,1370,446,72
21103,3/17/2023,6155,4.19999980926514,4.19999980926514,0,0,0,4.19000005722046,0,0,0,250,690,1955,,1370,338,71
21103,3/18/2023,5365,3.66000008583069,3.66000008583069,0,0,0.189999997615814,3.46000003814697,0,0,14,232,686,1975,,1370,360,69
21103,3/19/2023,24,0.019999999552965,0.019999999552965,0,0,0,0.019999999552965,0,0,0,3,859,1378,,1370,2,69
21103,3/20/2023,9472,6.46000003814697,6.46000003814697,0,0,0,6.44000005722046,0,0,0,369,622,2273,,1370,602,69
21103,3/21/2023,8864,6.05000019073486,6.05000019073486,0,0,0,6.03000020980835,0,0,0,337,1103,2163,,1370,486,70
21103,3/22/2023,2826,1.92999994754791,1.92999994754791,0,0,0,1.91999995708466,0,0,0,113,252,1027,,762,163,69
21104,2/28/2023,0,0,0,0,0,0,0,0,0,0,0,1440,1370,,1370,0,
21104,3/1/2023,5622,3.72000002861023,3.72000002861023,0,0,0,3.71000003814697,0,0,0,231,1209,1974,,1370,369,65
21104,3/2/2023,5404,3.69000005722046,3.69000005722046,0,0,0,3.67000007629395,0,0,0,267,646,1969,,1370,363,66
21104,3/3/2023,6015,4.05000019073486,4.05000019073486,0,0,0,4.05000019073486,0,0,0,265,577,2035,,1370,406,67
21104,3/4/2023,4516,3.07999992370605,3.07999992370605,0,0,0,3.0699999332428,0,0,0,203,591,1896,,1370,325,66
21104,3/5/2023,7748,5.28999996185303,5.28999996185303,0,0.699999988079071,0.449999988079071,4.11999988555908,0,10,8,293,741,2218,,1370,564,65
21104,3/6/2023,6241,4.26000022888184,4.26000022888184,0,0,0.189999997615814,4.05000019073486,0,0,13,310,516,2169,,1370,500,66
21104,3/7/2023,5457,3.72000002861023,3.72000002861023,0,0,0,3.71000003814697,0,0,0,250,910,1972,,1370,355,65
21104,3/8/2023,6238,4.25,4.25,0,0,0,4.23000001907349,0,0,0,286,721,2031,,1370,394,65
21104,3/9/2023,4611,3.14000010490417,3.14000010490417,0,0,0,3.13000011444092,0,0,0,218,856,1818,,1370,282,64
21104,3/10/2023,2046,1.39999997615814,1.39999997615814,0,0,0,1.38999998569489,0,0,0,74,1366,1532,,1370,101,64
21104,3/11/2023,7473,5.09999990463257,5.09999990463257,0,0,0.379999995231628,4.69999980926514,0,0,13,253,494,2038,,1370,437,64
21104,3/12/2023,3869,2.64000010490417,2.64000010490417,0,0,0,2.63000011444092,0,0,0,186,619,1777,,1370,237,66
21104,3/13/2023,6631,4.51999998092651,4.51999998092651,0,0,0,4.51000022888184,0,0,0,281,756,2011,,1370,391,66
