Id,SleepDay,DailyRMSSD,DeepRMSSD
21304,03/03/2023,39.737,35.162
21304,03/04/2023,48.088,47.814
21304,03/05/2023,29.019,31.952
21304,03/06/2023,37.198,46.704
21304,03/07/2023,67.894,46.315
21304,03/08/2023,52.606,37.598
21304,03/09/2023,48.517,41.145
21304,03/10/2023,49.915,51.67
21304,03/11/2023,37.262,37.038
21304,03/12/2023,41.064,30.248
21304,03/13/2023,38.295,29.544
21304,03/14/2023,44.225,44.895
21304,03/16/2023,0,24.444
21304,03/17/2023,41.245,41.568
21304,03/18/2023,34.792,40.944
21304,03/19/2023,31.23,34.222
21304,03/20/2023,29.802,36.907
21304,03/21/2023,39.709,32.827
21304,03/22/2023,35.37,27.648
21312,03/02/2023,21.375,18.92
21312,03/03/2023,20.404,16.195
21312,03/04/2023,19.362,18.948
21312,03/05/2023,17.548,74.786
21312,03/06/2023,18.45,28.606
21312,03/07/2023,18.683,20.804
21312,03/08/2023,25.116,20.686
21312,03/09/2023,28.898,17.757
21312,03/10/2023,30.284,34.197
21312,03/11/2023,43.291,41.92
21312,03/12/2023,38.408,30.603
21312,03/14/2023,30.116,25.751
21312,03/15/2023,20.782,20.693
21312,03/16/2023,27.005,27.547
21312,03/17/2023,28.309,92.706
21312,03/18/2023,27.428,23.805
21312,03/22/2023,22.072,15.635
21315,02/28/2023,35.023,31.294
21315,03/01/2023,35.312,32.489
21315,03/02/2023,35.259,30.893
21315,03/03/2023,33.158,66.992
21315,03/04/2023,36.118,38.471
21315,03/05/2023,42.277,42.557
21315,03/06/2023,35.7,35.28
21315,03/07/2023,33.296,41.596
21315,03/08/2023,28.763,62.048
21315,03/09/2023,37.76,34.502
21315,03/11/2023,29.793,41.017
21315,03/12/2023,31.515,30.13
21315,03/14/2023,40.026,48.323
21315,03/15/2023,50.853,54.265
21315,03/16/2023,44.278,0
21315,03/17/2023,33.527,37.596
21315,03/18/2023,29.186,39.576
21315,03/19/2023,30.775,30.851
21315,03/20/2023,32.803,29.715
21315,03/21/2023,40.991,39.082
21317,02/28/2023,12.856,50.04
21317,03/01/2023,16.246,10.795
21317,03/02/2023,14.026,17.096
21317,03/03/2023,8.861,11.288
21317,03/04/2023,10.81,13.267
21317,03/05/2023,15.369,18.777
21317,03/06/2023,15.57,15.031
21317,03/07/2023,14.96,14.821
21317,03/08/2023,20.716,20.4
21317,03/09/2023,20.401,22.291
21317,03/10/2023,18.209,18.88
21317,03/11/2023,16.219,19.503
21317,03/12/2023,26.668,27.681
21317,03/13/2023,24.343,24.319
21317,03/14/2023,20.851,21.002
21317,03/15/2023,19.347,20.315
21317,03/16/2023,18.73,23.137
21317,03/17/2023,18.276,19.295
21317,03/18/2023,15.463,16.653
21317,03/19/2023,17.9,18.111
21317,03/20/2023,15.238,17.399
21317,03/21/2023,14.063,13.761
21317,03/22/2023,14.718,17.102
21321,03/01/2023,42.354,36.415
21321,03/02/2023,31.998,25.631
21321,03/03/2023,41.58,28.129
21321,03/04/2023,37.732,29.179
21321,03/05/2023,36.513,29.785
21321,03/06/2023,47.494,30.667
21321,03/07/2023,52.026,29.222
21321,03/08/2023,39.96,34.992
21321,03/09/2023,46.667,0
21321,03/10/2023,43.053,29.744
21321,03/12/2023,43.538,47.522
21321,03/13/2023,37.791,35.842
21321,03/14/2023,38.206,26.256
21321,03/15/2023,39.341,34.491
21321,03/16/2023,42.436,35.586
21321,03/17/2023,37.653,31.353
21321,03/18/2023,50.01,34.878
21321,03/19/2023,32.735,25.764
21321,03/22/2023,44.261,37.513
21323,02/28/2023,57.111,44.867
21323,03/01/2023,58.658,44.447
21323,03/02/2023,59.31,46.17
21323,03/03/2023,43.919,37.934
21323,03/04/2023,38.868,27.953
21323,03/05/2023,31.612,40.053
21323,03/06/2023,36.349,32.515
21323,03/07/2023,50.982,44.507
21323,03/08/2023,38.204,34.477
21323,03/09/2023,45.418,42.491
21323,03/10/2023,43.413,33.8
21323,03/11/2023,33.77,33.178
21323,03/13/2023,44.563,47.968
21323,03/14/2023,43.951,36.735
21323,03/17/2023,37.417,36.029
21323,03/18/2023,60.911,54.717
21323,03/19/2023,53.876,36.99
21323,03/20/2023,45.664,39.019
21323,03/21/2023,34.664,36.208
21323,03/22/2023,35.43,33.938
21328,03/03/2023,20.589,17.214
21328,03/07/2023,16.237,10.121
21328,03/09/2023,17.331,15.737
21328,03/11/2023,23.389,24.421
21328,03/12/2023,32.321,27.761
21328,03/13/2023,19.501,11.859
21328,03/14/2023,25.861,22.015
21328,03/15/2023,30.488,30.51
21328,03/19/2023,16.465,15.521
21328,03/21/2023,29.32,24.347
21328,03/22/2023,22.063,19.177
22111,02/26/2023,17.437,18.836
22111,02/27/2023,24.239,20.506
22111,02/28/2023,21.262,15.46
22111,03/01/2023,32.538,30.001
22111,03/02/2023,20.116,20.651
22111,03/03/2023,15.168,18.652
22111,03/04/2023,19.969,24.836
22111,03/05/2023,25.996,25.018
22111,03/06/2023,16.469,12.452
22111,03/07/2023,15.706,16.605
22111,03/08/2023,12.766,8.772
22111,03/09/2023,22.807,21.001
22111,03/10/2023,21.885,18.747
22111,03/11/2023,11.752,8.599
22111,03/12/2023,25.731,63.322
22111,03/13/2023,23.975,22.724
22111,03/14/2023,26.843,24.329
22111,03/15/2023,18.569,14.961
22111,03/16/2023,21.321,19.286
22111,03/17/2023,24.234,26.762
22111,03/18/2023,8.879,7.316
22111,03/19/2023,10.2,10.724
22111,03/20/2023,20.775,41.014
22111,03/21/2023,22.051,17.148
22111,03/22/2023,17.993,18.665
22113,03/06/2023,55.407,48.573
22113,03/08/2023,0,57.641
22113,03/11/2023,71.45,71.394
22113,03/13/2023,64.546,56.751
22113,03/15/2023,48.451,56.197
22113,03/17/2023,62.325,60.886
22113,03/21/2023,43.222,40.517
22113,03/22/2023,40.807,33.68
22116,02/26/2023,0,8.756
22116,02/27/2023,9.242,8.729
22116,02/28/2023,8.896,8.391
22116,03/03/2023,0,8.448
