Id,ActivityDay,ZoneName,Min,Max,Calories,Minutes
21102,3/5/2023,Peak,173,220,0,0
21102,3/6/2023,Out of Range,30,119,500,530
21102,3/6/2023,Fat Burn,119,143,0,0
21102,3/6/2023,Cardio,143,173,0,0
21102,3/6/2023,Peak,173,220,0,0
21102,3/7/2023,Out of Range,30,119,2260,1434
21102,3/7/2023,Fat Burn,119,143,25,5
21102,3/7/2023,Cardio,143,173,0,0
21102,3/7/2023,Peak,173,220,0,0
21102,3/8/2023,Out of Range,30,118,2174,1400
21102,3/8/2023,Fat Burn,118,142,140,30
21102,3/8/2023,Cardio,142,172,14,2
21102,3/8/2023,Peak,172,220,0,0
21102,3/9/2023,Out of Range,30,118,1360,1439
21102,3/9/2023,Fat Burn,118,142,0,0
21102,3/9/2023,Cardio,142,172,0,0
21102,3/9/2023,Peak,172,220,0,0
21102,3/10/2023,Out of Range,30,118,1374,1438
21102,3/10/2023,Fat Burn,118,142,0,0
21102,3/10/2023,Cardio,142,172,9,1
21102,3/10/2023,Peak,172,220,0,0
21102,3/11/2023,Out of Range,30,118,427,452
21102,3/11/2023,Fat Burn,118,142,0,0
21102,3/11/2023,Cardio,142,172,0,0
21102,3/11/2023,Peak,172,220,0,0
21103,2/28/2023,Out of Range,30,113,1835,1417
21103,2/28/2023,Fat Burn,113,134,95,22
21103,2/28/2023,Cardio,134,161,0,0
21103,2/28/2023,Peak,161,220,0,0
21103,3/1/2023,Out of Range,30,116,1795,1426
21103,3/1/2023,Fat Burn,116,136,23,13
21103,3/1/2023,Cardio,136,161,0,0
21103,3/1/2023,Peak,161,220,0,0
21103,3/2/2023,Out of Range,30,114,1822,1404
21103,3/2/2023,Fat Burn,114,135,119,29
21103,3/2/2023,Cardio,135,161,40,6
21103,3/2/2023,Peak,161,220,0,0
21103,3/3/2023,Out of Range,30,113,2012,1436
21103,3/3/2023,Fat Burn,113,134,8,3
21103,3/3/2023,Cardio,134,161,0,0
21103,3/3/2023,Peak,161,220,0,0
21103,3/4/2023,Out of Range,30,113,1866,1378
21103,3/4/2023,Fat Burn,113,134,212,36
21103,3/4/2023,Cardio,134,161,178,25
21103,3/4/2023,Peak,161,220,0,0
21103,3/5/2023,Out of Range,30,113,1915,1434
21103,3/5/2023,Fat Burn,113,134,16,5
21103,3/5/2023,Cardio,134,161,0,0
21103,3/5/2023,Peak,161,220,0,0
21103,3/6/2023,Out of Range,30,112,2050,1411
21103,3/6/2023,Fat Burn,112,134,113,28
21103,3/6/2023,Cardio,134,160,0,0
21103,3/6/2023,Peak,160,220,0,0
21103,3/7/2023,Out of Range,30,114,1948,1437
21103,3/7/2023,Fat Burn,114,135,7,1
21103,3/7/2023,Cardio,135,161,1,1
21103,3/7/2023,Peak,161,220,0,0
21103,3/8/2023,Out of Range,30,112,2469,1432
21103,3/8/2023,Fat Burn,112,134,26,7
21103,3/8/2023,Cardio,134,160,0,0
21103,3/8/2023,Peak,160,220,0,0
21103,3/9/2023,Out of Range,30,111,2007,1404
21103,3/9/2023,Fat Burn,111,133,140,34
21103,3/9/2023,Cardio,133,160,4,1
21103,3/9/2023,Peak,160,220,0,0
21103,3/10/2023,Out of Range,30,112,2161,1435
21103,3/10/2023,Fat Burn,112,134,14,4
21103,3/10/2023,Cardio,134,160,0,0
21103,3/10/2023,Peak,160,220,0,0
21103,3/11/2023,Out of Range,30,112,1710,1151
21103,3/11/2023,Fat Burn,112,134,1307,280
21103,3/11/2023,Cardio,134,160,51,8
21103,3/11/2023,Peak,160,220,0,0
21103,3/12/2023,Out of Range,30,113,1822,1428
21103,3/12/2023,Fat Burn,113,134,48,11
21103,3/12/2023,Cardio,134,161,0,0
21103,3/12/2023,Peak,161,220,0,0
21103,3/13/2023,Out of Range,30,112,2105,1382
21103,3/13/2023,Fat Burn,112,133,220,54
21103,3/13/2023,Cardio,133,160,21,3
21103,3/13/2023,Peak,160,220,0,0
21103,3/14/2023,Out of Range,30,113,1733,1117
21103,3/14/2023,Fat Burn,113,134,1,1
21103,3/14/2023,Cardio,134,161,0,0
21103,3/14/2023,Peak,161,220,0,0
21103,3/15/2023,Out of Range,30,114,2077,1432
21103,3/15/2023,Fat Burn,114,135,17,7
21103,3/15/2023,Cardio,135,161,0,0
21103,3/15/2023,Peak,161,220,0,0
21103,3/16/2023,Out of Range,30,114,2053,1433
21103,3/16/2023,Fat Burn,114,135,23,6
21103,3/16/2023,Cardio,135,161,0,0
21103,3/16/2023,Peak,161,220,0,0
21103,3/17/2023,Out of Range,30,113,1952,1438
21103,3/17/2023,Fat Burn,113,134,3,1
21103,3/17/2023,Cardio,134,161,0,0
21103,3/17/2023,Peak,161,220,0,0
21103,3/18/2023,Out of Range,30,112,1910,1424
21103,3/18/2023,Fat Burn,112,133,65,15
21103,3/18/2023,Cardio,133,160,0,0
21103,3/18/2023,Peak,160,220,0,0
21103,3/19/2023,Out of Range,30,112,1378,1439
21103,3/19/2023,Fat Burn,112,133,0,0
21103,3/19/2023,Cardio,133,160,0,0
21103,3/19/2023,Peak,160,220,0,0
21103,3/20/2023,Out of Range,30,112,2213,1423
21103,3/20/2023,Fat Burn,112,133,61,16
21103,3/20/2023,Cardio,133,160,0,0
21103,3/20/2023,Peak,160,220,0,0
21103,3/21/2023,Out of Range,30,112,2150,1436
21103,3/21/2023,Fat Burn,112,134,13,3
21103,3/21/2023,Cardio,134,160,0,0
21103,3/21/2023,Peak,160,220,0,0
21103,3/22/2023,Out of Range,30,112,1023,800
21103,3/22/2023,Fat Burn,112,133,4,1
21103,3/22/2023,Cardio,133,160,0,0
21103,3/22/2023,Peak,160,220,0,0
21104,2/28/2023,Out of Range,30,106,730,767
21104,2/28/2023,Fat Burn,106,130,0,0
21104,2/28/2023,Cardio,130,159,0,0
21104,2/28/2023,Peak,159,220,0,0
21104,3/1/2023,Out of Range,30,109,1927,1425
21104,3/1/2023,Fat Burn,109,132,47,14
21104,3/1/2023,Cardio,132,160,0,0
21104,3/1/2023,Peak,160,220,0,0
21104,3/2/2023,Out of Range,30,110,1954,1435
21104,3/2/2023,Fat Burn,110,132,16,4
21104,3/2/2023,Cardio,132,160,0,0
21104,3/2/2023,Peak,160,220,0,0
21104,3/3/2023,Out of Range,30,111,2018,1434
21104,3/3/2023,Fat Burn,111,133,18,5
21104,3/3/2023,Cardio,133,160,0,0
21104,3/3/2023,Peak,160,220,0,0
21104,3/4/2023,Out of Range,30,110,1836,1424
21104,3/4/2023,Fat Burn,110,132,60,15
21104,3/4/2023,Cardio,132,160,0,0
21104,3/4/2023,Peak,160,220,0,0
21104,3/5/2023,Out of Range,30,109,2089,1410
21104,3/5/2023,Fat Burn,109,132,129,29
21104,3/5/2023,Cardio,132,160,0,0
21104,3/5/2023,Peak,160,220,0,0
21104,3/6/2023,Out of Range,30,110,2064,1412
21104,3/6/2023,Fat Burn,110,132,106,27
21104,3/6/2023,Cardio,132,160,0,0
21104,3/6/2023,Peak,160,220,0,0
21104,3/7/2023,Out of Range,30,109,1941,1429
21104,3/7/2023,Fat Burn,109,132,30,10
21104,3/7/2023,Cardio,132,160,0,0
21104,3/7/2023,Peak,160,220,0,0
21104,3/8/2023,Out of Range,30,109,2002,1431
21104,3/8/2023,Fat Burn,109,132,28,8
21104,3/8/2023,Cardio,132,160,0,0
21104,3/8/2023,Peak,160,220,0,0
21104,3/9/2023,Out of Range,30,109,1806,1436
21104,3/9/2023,Fat Burn,109,131,12,3
21104,3/9/2023,Cardio,131,160,0,0
21104,3/9/2023,Peak,160,220,0,0
21104,3/10/2023,Out of Range,30,109,1531,1438
21104,3/10/2023,Fat Burn,109,131,1,1
21104,3/10/2023,Cardio,131,160,0,0
21104,3/10/2023,Peak,160,220,0,0
21104,3/11/2023,Out of Range,30,109,1984,1426
21104,3/11/2023,Fat Burn,109,131,55,13
21104,3/11/2023,Cardio,131,160,0,0
21104,3/11/2023,Peak,160,220,0,0
21104,3/12/2023,Out of Range,30,110,1777,1439
21104,3/12/2023,Fat Burn,110,132,0,0
21104,3/12/2023,Cardio,132,160,0,0
21104,3/12/2023,Peak,160,220,0,0
21104,3/13/2023,Out of Range,30,110,1997,1435
21104,3/13/2023,Fat Burn,110,132,14,4
21104,3/13/2023,Cardio,132,160,0,0
21104,3/13/2023,Peak,160,220,0,0
21104,3/14/2023,Out of Range,30,109,1901,1434
21104,3/14/2023,Fat Burn,109,132,18,5
21104,3/14/2023,Cardio,132,160,0,0
21104,3/14/2023,Peak,160,220,0,0
21104,3/15/2023,Out of Range,30,110,2030,1425
21104,3/15/2023,Fat Burn,110,132,49,14
21104,3/15/2023,Cardio,132,160,0,0
21104,3/15/2023,Peak,160,220,0,0
21104,3/16/2023,Out of Range,30,110,1912,1437
21104,3/16/2023,Fat Burn,110,132,7,2
21104,3/16/2023,Cardio,132,160,0,0
21104,3/16/2023,Peak,160,220,0,0
21104,3/17/2023,Out of Range,30,110,1935,1439
21104,3/17/2023,Fat Burn,110,132,0,0
21104,3/17/2023,Cardio,132,160,0,0
21104,3/17/2023,Peak,160,220,0,0
21104,3/18/2023,Out of Range,30,109,1889,1436
21104,3/18/2023,Fat Burn,109,132,8,3
21104,3/18/2023,Cardio,132,160,0,0
21104,3/18/2023,Peak,160,220,0,0
21104,3/19/2023,Out of Range,30,109,2050,1433
21104,3/19/2023,Fat Burn,109,132,24,6
21104,3/19/2023,Cardio,132,160,0,0
21104,3/19/2023,Peak,160,220,0,0
21104,3/20/2023,Out of Range,30,111,1244,874
21104,3/20/2023,Fat Burn,111,133,0,0
21104,3/20/2023,Cardio,133,160,0,0
21104,3/20/2023,Peak,160,220,0,0
21111,2/28/2023,Out of Range,30,112,2394,1421
21111,2/28/2023,Fat Burn,112,133,105,18
21111,2/28/2023,Cardio,133,160,0,0
21111,2/28/2023,Peak,160,220,0,0
21111,3/1/2023,Out of Range,30,112,2176,1436
21111,3/1/2023,Fat Burn,112,133,15,3
21111,3/1/2023,Cardio,133,160,0,0
21111,3/1/2023,Peak,160,220,0,0
21111,3/2/2023,Out of Range,30,111,1519,1439
21111,3/2/2023,Fat Burn,111,133,0,0
21111,3/2/2023,Cardio,133,160,0,0
21111,3/2/2023,Peak,160,220,0,0
21111,3/3/2023,Out of Range,30,110,2110,1438
21111,3/3/2023,Fat Burn,110,132,5,1
21111,3/3/2023,Cardio,132,160,0,0
21111,3/3/2023,Peak,160,220,0,0
21111,3/4/2023,Out of Range,30,111,1760,1439
21111,3/4/2023,Fat Burn,111,133,0,0
21111,3/4/2023,Cardio,133,160,0,0
21111,3/4/2023,Peak,160,220,0,0
21111,3/5/2023,Out of Range,30,111,1824,1431
21111,3/5/2023,Fat Burn,111,133,28,8
21111,3/5/2023,Cardio,133,160,0,0
21111,3/5/2023,Peak,160,220,0,0
21111,3/6/2023,Out of Range,30,112,1944,1439
21111,3/6/2023,Fat Burn,112,133,0,0
21111,3/6/2023,Cardio,133,160,0,0
21111,3/6/2023,Peak,160,220,0,0
21111,3/7/2023,Out of Range,30,112,2136,1437
21111,3/7/2023,Fat Burn,112,133,9,2
21111,3/7/2023,Cardio,133,160,0,0
21111,3/7/2023,Peak,160,220,0,0
21111,3/8/2023,Out of Range,30,111,1889,1439
21111,3/8/2023,Fat Burn,111,133,0,0
21111,3/8/2023,Cardio,133,160,0,0
21111,3/8/2023,Peak,160,220,0,0
21111,3/9/2023,Out of Range,30,112,1870,1432
21111,3/9/2023,Fat Burn,112,133,31,7
21111,3/9/2023,Cardio,133,160,0,0
21111,3/9/2023,Peak,160,220,0,0
21111,3/10/2023,Out of Range,30,112,2321,1437
21111,3/10/2023,Fat Burn,112,133,4,2
21111,3/10/2023,Cardio,133,160,0,0
21111,3/10/2023,Peak,160,220,0,0
21111,3/11/2023,Out of Range,30,111,1815,1405
21111,3/11/2023,Fat Burn,111,133,164,34
21111,3/11/2023,Cardio,133,160,0,0
21111,3/11/2023,Peak,160,220,0,0
21111,3/12/2023,Out of Range,30,112,2076,1439
21111,3/12/2023,Fat Burn,112,133,0,0
21111,3/12/2023,Cardio,133,160,0,0
21111,3/12/2023,Peak,160,220,0,0
21111,3/13/2023,Out of Range,30,111,2009,1434
21111,3/13/2023,Fat Burn,111,133,10,2
21111,3/13/2023,Cardio,133,160,20,3
21111,3/13/2023,Peak,160,220,0,0
21111,3/14/2023,Out of Range,30,111,2043,1439
21111,3/14/2023,Fat Burn,111,133,0,0
21111,3/14/2023,Cardio,133,160,0,0
21111,3/14/2023,Peak,160,220,0,0
21111,3/15/2023,Out of Range,30,111,2269,1439
21111,3/15/2023,Fat Burn,111,133,0,0
21111,3/15/2023,Cardio,133,160,0,0
21111,3/15/2023,Peak,160,220,0,0
21111,3/16/2023,Out of Range,30,111,2023,1438
21111,3/16/2023,Fat Burn,111,133,3,1
21111,3/16/2023,Cardio,133,160,0,0
21111,3/16/2023,Peak,160,220,0,0
21111,3/17/2023,Out of Range,30,111,2242,1427
21111,3/17/2023,Fat Burn,111,133,38,11
21111,3/17/2023,Cardio,133,160,7,1
21111,3/17/2023,Peak,160,220,0,0
21111,3/18/2023,Out of Range,30,111,1607,1439
21111,3/18/2023,Fat Burn,111,133,0,0
21111,3/18/2023,Cardio,133,160,0,0
21111,3/18/2023,Peak,160,220,0,0
21111,3/19/2023,Out of Range,30,112,1850,1438
21111,3/19/2023,Fat Burn,112,133,3,1
21111,3/19/2023,Cardio,133,160,0,0
21111,3/19/2023,Peak,160,220,0,0
21111,3/20/2023,Out of Range,30,111,1789,1438
21111,3/20/2023,Fat Burn,111,133,1,1
21111,3/20/2023,Cardio,133,160,0,0
21111,3/20/2023,Peak,160,220,0,0
21111,3/21/2023,Out of Range,30,112,2031,1437
21111,3/21/2023,Fat Burn,112,133,8,2
21111,3/21/2023,Cardio,133,160,0,0
21111,3/21/2023,Peak,160,220,0,0
21111,3/22/2023,Out of Range,30,112,1247,812
21111,3/22/2023,Fat Burn,112,133,0,0
21111,3/22/2023,Cardio,133,160,0,0
21111,3/22/2023,Peak,160,220,0,0
21112,2/28/2023,Out of Range,30,107,2912,1413
21112,2/28/2023,Fat Burn,107,130,141,26
21112,2/28/2023,Cardio,130,159,0,0
21112,2/28/2023,Peak,159,220,0,0
21112,3/1/2023,Out of Range,30,109,2720,1385
21112,3/1/2023,Fat Burn,109,135,210,38
21112,3/1/2023,Cardio,135,166,146,16
21112,3/1/2023,Peak,166,220,0,0
21112,3/2/2023,Out of Range,30,108,1969,1439
21112,3/2/2023,Fat Burn,108,134,0,0
21112,3/2/2023,Cardio,134,166,0,0
21112,3/2/2023,Peak,166,220,0,0
21112,3/3/2023,Out of Range,30,109,2607,1430
21112,3/3/2023,Fat Burn,109,134,40,9
21112,3/3/2023,Cardio,134,166,0,0
21112,3/3/2023,Peak,166,220,0,0
21112,3/4/2023,Out of Range,30,109,2253,1436
21112,3/4/2023,Fat Burn,109,135,10,3
21112,3/4/2023,Cardio,135,166,0,0
21112,3/4/2023,Peak,166,220,0,0
21112,3/5/2023,Out of Range,30,111,2163,1439
21112,3/5/2023,Fat Burn,111,136,0,0
21112,3/5/2023,Cardio,136,167,0,0
21112,3/5/2023,Peak,167,220,0,0
21112,3/6/2023,Out of Range,30,109,2965,1423
21112,3/6/2023,Fat Burn,109,135,80,16
21112,3/6/2023,Cardio,135,166,0,0
21112,3/6/2023,Peak,166,220,0,0
21112,3/7/2023,Out of Range,30,109,2551,1426
21112,3/7/2023,Fat Burn,109,135,64,12
21112,3/7/2023,Cardio,135,166,7,1
21112,3/7/2023,Peak,166,220,0,0
21112,3/8/2023,Out of Range,30,109,2278,1435
21112,3/8/2023,Fat Burn,109,134,19,4
21112,3/8/2023,Cardio,134,166,0,0
21112,3/8/2023,Peak,166,220,0,0
21112,3/9/2023,Out of Range,30,109,2604,1399
21112,3/9/2023,Fat Burn,109,134,113,19
21112,3/9/2023,Cardio,134,166,204,21
21112,3/9/2023,Peak,166,220,0,0
21112,3/10/2023,Out of Range,30,109,2620,1403
21112,3/10/2023,Fat Burn,109,135,156,31
21112,3/10/2023,Cardio,135,166,40,5
21112,3/10/2023,Peak,166,220,0,0
21112,3/11/2023,Out of Range,30,109,2338,1397
21112,3/11/2023,Fat Burn,109,135,215,42
21112,3/11/2023,Cardio,135,166,0,0
21112,3/11/2023,Peak,166,220,0,0
21112,3/12/2023,Out of Range,30,111,2080,1401
21112,3/12/2023,Fat Burn,111,136,196,32
21112,3/12/2023,Cardio,136,167,46,6
21112,3/12/2023,Peak,167,220,0,0
21112,3/13/2023,Out of Range,30,111,2461,1434
21112,3/13/2023,Fat Burn,111,136,25,5
21112,3/13/2023,Cardio,136,167,0,0
21112,3/13/2023,Peak,167,220,0,0
21112,3/14/2023,Out of Range,30,110,2533,1433
21112,3/14/2023,Fat Burn,110,135,26,6
21112,3/14/2023,Cardio,135,167,0,0
21112,3/14/2023,Peak,167,220,0,0
21112,3/15/2023,Out of Range,30,109,2522,1433
21112,3/15/2023,Fat Burn,109,135,27,6
21112,3/15/2023,Cardio,135,166,0,0
21112,3/15/2023,Peak,166,220,0,0
21112,3/16/2023,Out of Range,30,108,2434,1371
21112,3/16/2023,Fat Burn,108,134,324,61
21112,3/16/2023,Cardio,134,166,52,6
21112,3/16/2023,Peak,166,220,9,1
21112,3/17/2023,Out of Range,30,107,2297,1438
21112,3/17/2023,Fat Burn,107,133,0,0
21112,3/17/2023,Cardio,133,166,1,1
21112,3/17/2023,Peak,166,220,0,0
21112,3/18/2023,Out of Range,30,107,2470,1439
21112,3/18/2023,Fat Burn,107,133,0,0
21112,3/18/2023,Cardio,133,166,0,0
21112,3/18/2023,Peak,166,220,0,0
21112,3/19/2023,Out of Range,30,108,2087,1428
21112,3/19/2023,Fat Burn,108,134,51,11
21112,3/19/2023,Cardio,134,166,0,0
21112,3/19/2023,Peak,166,220,0,0
21112,3/20/2023,Out of Range,30,108,2389,1432
21112,3/20/2023,Fat Burn,108,134,37,7
21112,3/20/2023,Cardio,134,166,0,0
21112,3/20/2023,Peak,166,220,0,0
21112,3/21/2023,Out of Range,30,108,2616,1427
21112,3/21/2023,Fat Burn,108,134,35,8
21112,3/21/2023,Cardio,134,166,33,4
21112,3/21/2023,Peak,166,220,0,0
21112,3/22/2023,Out of Range,30,107,1382,812
21112,3/22/2023,Fat Burn,107,133,5,1
21112,3/22/2023,Cardio,133,166,0,0
21112,3/22/2023,Peak,166,220,0,0
21113,2/28/2023,Out of Range,30,112,3257,1432
21113,2/28/2023,Fat Burn,112,134,44,7
21113,2/28/2023,Cardio,134,160,0,0
21113,2/28/2023,Peak,160,220,0,0
21113,3/1/2023,Out of Range,30,113,2927,1433
21113,3/1/2023,Fat Burn,113,134,35,5
21113,3/1/2023,Cardio,134,161,10,1
21113,3/1/2023,Peak,161,220,0,0
21113,3/2/2023,Out of Range,30,113,3187,1431
21113,3/2/2023,Fat Burn,113,134,45,8
21113,3/2/2023,Cardio,134,161,0,0
21113,3/2/2023,Peak,161,220,0,0
21113,3/3/2023,Out of Range,30,114,2340,1411
21113,3/3/2023,Fat Burn,114,135,158,27
21113,3/3/2023,Cardio,135,161,8,1
21113,3/3/2023,Peak,161,220,0,0
21113,3/4/2023,Out of Range,30,115,2796,1434
21113,3/4/2023,Fat Burn,115,135,28,5
21113,3/4/2023,Cardio,135,161,0,0
21113,3/4/2023,Peak,161,220,0,0
21113,3/5/2023,Out of Range,30,114,2592,1349
21113,3/5/2023,Fat Burn,114,135,574,90
21113,3/5/2023,Cardio,135,161,0,0
21113,3/5/2023,Peak,161,220,0,0
21113,3/6/2023,Out of Range,30,113,2738,1433
21113,3/6/2023,Fat Burn,113,134,23,6
21113,3/6/2023,Cardio,134,161,0,0
21113,3/6/2023,Peak,161,220,0,0
21113,3/7/2023,Out of Range,30,112,2999,1404
21113,3/7/2023,Fat Burn,112,134,133,25
21113,3/7/2023,Cardio,134,160,98,10
21113,3/7/2023,Peak,160,220,0,0
21113,3/8/2023,Out of Range,30,112,2547,1417
21113,3/8/2023,Fat Burn,112,133,135,17
21113,3/8/2023,Cardio,133,160,51,5
21113,3/8/2023,Peak,160,220,0,0
21113,3/9/2023,Out of Range,30,112,3030,1413
21113,3/9/2023,Fat Burn,112,133,140,26
21113,3/9/2023,Cardio,133,160,0,0
21113,3/9/2023,Peak,160,220,0,0
21113,3/10/2023,Out of Range,30,112,2365,1418
21113,3/10/2023,Fat Burn,112,134,102,20
21113,3/10/2023,Cardio,134,160,7,1
21113,3/10/2023,Peak,160,220,0,0
21113,3/11/2023,Out of Range,30,113,2861,1308
21113,3/11/2023,Fat Burn,113,134,747,107
21113,3/11/2023,Cardio,134,161,250,24
21113,3/11/2023,Peak,161,220,0,0
21113,3/12/2023,Out of Range,30,114,3188,1387
21113,3/12/2023,Fat Burn,114,135,318,52
21113,3/12/2023,Cardio,135,161,0,0
21113,3/12/2023,Peak,161,220,0,0
21113,3/13/2023,Out of Range,30,115,2592,1428
21113,3/13/2023,Fat Burn,115,135,58,11
21113,3/13/2023,Cardio,135,161,0,0
21113,3/13/2023,Peak,161,220,0,0
21113,3/14/2023,Out of Range,30,114,2803,1432
21113,3/14/2023,Fat Burn,114,135,37,7
21113,3/14/2023,Cardio,135,161,0,0
21113,3/14/2023,Peak,161,220,0,0
21113,3/15/2023,Out of Range,30,115,2738,1431
21113,3/15/2023,Fat Burn,115,135,53,8
21113,3/15/2023,Cardio,135,161,0,0
21113,3/15/2023,Peak,161,220,0,0
21113,3/16/2023,Out of Range,30,114,2801,1407
21113,3/16/2023,Fat Burn,114,135,160,29
21113,3/16/2023,Cardio,135,161,20,3
