Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
10204,12/6/22,1,423,469
10204,12/7/22,1,420,430
10204,12/8/22,2,601,636
10204,12/12/22,2,454,480
10204,12/13/22,1,379,401
10205,10/6/22,1,459,469
10205,10/11/22,1,480,487
10205,10/12/22,1,482,517
10205,10/13/22,1,512,555
10205,10/15/22,1,664,701
10205,10/16/22,1,569,644
10205,10/18/22,1,389,423
10205,10/19/22,1,539,614
10205,10/20/22,1,426,446
10205,10/21/22,1,380,412
10205,10/22/22,1,479,495
10205,10/23/22,1,478,526
10205,10/25/22,1,414,454
10205,10/26/22,1,371,404
10205,10/27/22,1,386,411
10205,10/28/22,1,388,433
10205,10/29/22,1,601,643
10205,10/30/22,1,433,474
10205,10/31/22,1,376,382
10205,11/3/22,1,447,457
10205,11/5/22,1,569,593
10205,11/7/22,1,387,399
10205,11/8/22,1,472,492
10205,11/9/22,1,452,469
10205,11/10/22,1,524,548
10205,11/13/22,1,481,515
10205,11/14/22,1,462,486
10205,11/16/22,1,482,506
10205,11/18/22,1,381,399
10205,11/19/22,1,584,613
10205,11/20/22,1,562,587
10205,11/21/22,1,498,522
10205,11/22/22,1,485,509
10205,11/24/22,1,423,446
10205,11/25/22,1,427,463
10205,11/26/22,1,364,380
10205,12/1/22,1,439,466
10205,12/3/22,1,483,534
10301,10/29/22,1,518,565
10301,10/30/22,1,204,212
10301,10/31/22,1,97,101
10301,11/1/22,1,270,283
10301,11/2/22,1,97,101
10301,11/12/22,1,518,549
10301,11/13/22,1,530,553
10301,11/16/22,1,358,390
10301,11/17/22,1,435,446
10301,11/19/22,1,440,460
10301,11/21/22,1,286,297
10301,11/23/22,1,181,190
10301,11/24/22,1,423,447
10301,11/27/22,1,544,569
10301,11/29/22,1,248,275
10301,11/30/22,1,291,312
10301,12/7/22,1,193,210
10301,12/8/22,1,285,317
10301,12/9/22,1,249,270
10301,12/10/22,1,606,616
10301,12/12/22,1,220,237
10301,12/13/22,1,254,328
10301,12/15/22,1,303,319
10301,12/20/22,1,375,412
10301,12/21/22,1,546,606
10302,10/6/22,1,203,512
10302,10/7/22,1,285,507
10302,10/8/22,1,347,575
10302,10/9/22,1,327,527
10302,10/10/22,1,260,537
10302,10/11/22,1,250,424
10302,10/12/22,1,244,475
10302,10/14/22,1,276,567
10302,10/15/22,1,295,624
10302,10/16/22,2,434,714
10302,10/18/22,1,227,527
10302,10/22/22,2,355,544
10302,11/8/22,1,227,530
10302,11/9/22,2,328,644
10302,11/10/22,1,204,414
10302,11/11/22,1,204,467
10302,11/12/22,1,330,615
10303,10/6/22,1,429,455
10303,10/7/22,1,456,479
10303,10/8/22,1,483,497
10303,10/9/22,1,479,516
10303,10/11/22,1,493,514
10303,10/13/22,1,512,535
10303,10/14/22,1,447,463
10303,10/15/22,1,435,478
10303,10/16/22,1,442,491
10303,10/17/22,1,414,462
10303,10/18/22,1,424,445
10303,10/19/22,1,418,452
10303,10/21/22,1,514,529
10303,10/22/22,1,518,556
10303,10/23/22,1,342,362
10303,11/4/22,1,294,341
10303,11/7/22,1,404,410
10303,11/8/22,2,549,568
10303,11/9/22,1,443,463
10303,11/10/22,1,389,415
10303,11/11/22,1,505,532
10303,11/17/22,1,186,199
10304,10/5/22,1,171,178
10304,10/6/22,1,55,61
10304,10/7/22,1,58,62
10304,10/26/22,1,58,64
10304,10/28/22,1,479,504
10304,10/29/22,1,602,638
10304,10/30/22,1,573,607
10304,10/31/22,1,461,488
10304,11/1/22,1,480,501
10304,11/2/22,1,495,516
10304,11/3/22,1,490,515
10304,11/4/22,1,471,493
10304,11/5/22,1,578,606
10304,11/6/22,1,498,522
10304,11/7/22,1,471,503
10304,11/8/22,1,470,486
10304,11/9/22,2,418,439
10304,11/10/22,2,573,618
10304,11/11/22,1,506,549
10304,11/12/22,1,475,497
10304,11/13/22,1,637,665
10304,11/14/22,1,462,489
10304,11/15/22,1,527,550
10304,11/16/22,1,489,511
10304,11/17/22,1,478,518
10304,11/19/22,1,569,617
10304,11/20/22,1,424,446
10304,11/21/22,1,467,484
10304,11/23/22,1,491,523
10304,11/24/22,1,511,537
10304,11/25/22,1,631,671
10304,11/26/22,2,499,526
10304,11/28/22,1,459,477
10304,11/29/22,1,520,541
10304,11/30/22,1,471,502
10304,12/2/22,1,471,494
10304,12/3/22,2,467,495
10304,12/4/22,1,610,658
10304,12/7/22,1,497,541
10304,12/8/22,1,624,676
10304,12/10/22,1,573,607
10304,12/11/22,1,435,475
10304,12/12/22,1,432,462
10304,12/13/22,1,475,510
10304,12/15/22,1,366,396
10304,12/16/22,1,455,479
10304,12/17/22,1,546,578
10304,12/19/22,1,607,635
10304,12/20/22,1,518,556
10304,12/21/22,1,451,468
10304,12/22/22,1,484,507
10304,12/23/22,1,566,634
10304,12/24/22,1,512,556
10304,12/25/22,1,482,528
10304,12/26/22,1,523,552
10304,12/27/22,1,598,624
10304,12/28/22,1,528,569
10304,12/29/22,1,419,461
10304,12/30/22,1,486,506
10304,12/31/22,1,596,655
10305,10/19/22,1,364,377
10305,10/21/22,1,454,517
10305,10/22/22,1,183,202
10305,11/3/22,1,483,536
10305,11/4/22,1,389,429
10305,11/5/22,1,367,423
10305,11/6/22,1,612,672
10305,11/7/22,1,452,494
10305,11/8/22,1,469,506
10305,11/11/22,1,448,462
10305,11/12/22,1,389,404
10305,11/13/22,1,482,492
10305,11/14/22,2,354,385
10305,11/15/22,1,480,508
10305,11/16/22,1,449,481
10305,11/17/22,1,442,480
10305,11/18/22,2,510,540
10305,11/19/22,1,586,627
10305,11/20/22,1,359,402
10305,11/21/22,1,581,628
10305,11/22/22,1,460,489
10305,11/23/22,1,561,623
10305,11/24/22,1,528,566
10305,11/25/22,1,573,613
10305,11/26/22,1,584,652
10305,11/27/22,1,557,596
10305,11/28/22,1,429,457
10305,11/29/22,1,474,523
10305,11/30/22,1,442,483
10305,12/1/22,1,463,491
10305,12/2/22,1,453,484
10305,12/3/22,1,556,618
10305,12/4/22,1,570,623
10305,12/5/22,1,475,520
10305,12/6/22,1,477,511
10305,12/7/22,1,397,449
10305,12/8/22,1,185,191
10305,12/9/22,2,777,885
10305,12/15/22,1,311,313
10305,12/16/22,1,91,91
10305,12/17/22,1,295,318
10306,10/6/22,1,480,537
10306,10/7/22,1,347,363
10306,10/8/22,1,512,531
10306,10/9/22,1,575,607
10306,10/10/22,1,588,627
10306,10/17/22,1,472,472
10306,10/20/22,1,475,529
10306,10/24/22,1,435,479
10306,10/25/22,1,545,567
10306,12/2/22,1,511,536
10306,12/3/22,1,564,595
10307,10/6/22,1,161,170
10307,10/7/22,1,436,474
10307,10/8/22,3,554,590
10307,10/9/22,1,303,331
10307,10/10/22,1,409,462
10307,10/11/22,1,383,403
10307,10/12/22,1,364,389
10307,10/13/22,1,451,486
10307,10/14/22,1,352,387
10307,10/15/22,2,466,537
10307,10/16/22,2,570,590
10307,10/17/22,2,263,295
10307,10/18/22,1,269,297
10307,10/19/22,1,319,342
10307,10/20/22,1,298,321
10307,10/21/22,1,254,275
10307,10/22/22,1,310,342
10307,10/23/22,3,523,559
10307,10/24/22,1,306,331
10307,10/25/22,1,185,202
10307,10/26/22,2,398,429
10307,10/27/22,1,306,319
10307,10/28/22,2,259,293
10307,10/29/22,1,491,529
10307,10/30/22,1,286,318
10307,10/31/22,2,1123,1268
10307,11/1/22,1,206,229
10307,11/2/22,1,139,144
10307,11/3/22,2,169,177
10307,11/4/22,1,175,181
10307,11/5/22,1,519,536
10307,11/6/22,1,398,413
10307,11/7/22,1,188,198
10307,11/8/22,1,345,375
10307,11/9/22,1,115,123
10307,11/10/22,1,218,228
10307,11/11/22,1,547,561
10307,11/12/22,1,440,446
10307,11/13/22,1,383,394
10307,11/14/22,1,197,221
10307,11/15/22,1,290,327
10307,11/16/22,1,157,165
10307,11/17/22,1,148,166
10307,11/18/22,1,320,327
10307,11/19/22,1,441,463
10307,11/20/22,1,355,386
10307,11/22/22,1,304,321
10307,11/24/22,1,376,396
10307,11/25/22,1,635,680
10307,11/26/22,1,388,408
10307,11/27/22,2,475,499
10307,12/1/22,1,297,308
10307,12/2/22,2,291,310
10307,12/3/22,1,184,201
10307,12/4/22,1,396,413
10307,12/5/22,1,237,265
10307,12/6/22,1,319,334
10307,12/7/22,2,410,431
